set of enemies,enemy_weights,seed_setting,run id,gen,train_max.fitness,train_mean.fitness,train_min.fitness,train_std.fitness,train_max.gain,train_mean.gain,train_min.gain,train_std.gain,test_max.fitness,test_mean.fitness,test_min.fitness,test_std.fitness,test_max.gain,test_mean.gain,test_min.gain,test_std.gain
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,420,05:37,2,23.241307,4.738016,-3.622184,7.644935,-7.277426,-92.721821,-118.59699,30.255355,23.241307,4.738016,-3.622184,7.644935,-7.277426,-36.512387,-88.058905,18.280793
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,420,05:37,3,35.755922,14.430101,5.842543,5.528214,-7.277426,-92.721821,-118.59699,30.255355,35.755922,14.430101,5.842543,5.528214,-2.665842,-24.277073,-41.79275,7.679026
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,420,05:37,4,35.755922,18.002059,13.801356,4.76897,-7.277426,-92.721821,-118.59699,30.255355,35.755922,18.002059,13.801356,4.76897,-2.665842,-21.186441,-41.79275,8.034749
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,420,05:37,5,35.755922,20.215122,15.335771,4.157279,-7.277426,-92.721821,-118.59699,30.255355,35.755922,20.215122,15.335771,4.157279,-2.665842,-18.128411,-29.328293,6.60447
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,420,05:37,6,35.755922,22.970317,19.421563,3.189702,-7.277426,-92.721821,-118.59699,30.255355,35.755922,22.970317,19.421563,3.189702,-0.199222,-15.189274,-23.416266,7.318776
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,420,05:37,7,44.49207,24.917229,20.79749,4.367296,-7.277426,-92.721821,-118.59699,30.255355,44.49207,24.917229,20.79749,4.367296,1.06076,-12.885153,-23.193248,6.950249
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,420,05:37,8,44.49207,25.682805,22.73201,4.087261,-7.277426,-92.721821,-118.59699,30.255355,44.49207,25.682805,22.73201,4.087261,1.06076,-12.034822,-22.185424,6.332446
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,420,05:37,9,44.49207,26.649125,23.241464,3.988207,-7.277426,-92.721821,-118.59699,30.255355,44.49207,26.649125,23.241464,3.988207,2.115455,-9.818255,-20.101874,5.701554
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,420,05:37,10,44.49207,27.327873,24.027936,3.642242,-7.277426,-92.721821,-118.59699,30.255355,44.49207,27.327873,24.027936,3.642242,2.115455,-8.549769,-20.626993,6.023952
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,120,11:21,0,13.801356,-6.684425,-24.103949,5.682855,-24.560815,-91.786681,-118.59699,26.825915,13.801356,-6.684425,-24.103949,5.682855,-24.560815,-91.786681,-118.59699,26.825915
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,120,11:21,1,13.801356,-2.402029,-5.290276,3.608498,-24.560815,-91.786681,-118.59699,26.825915,13.801356,-2.402029,-5.290276,3.608498,-24.560815,-63.618988,-94.107411,27.065074
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,120,11:21,2,22.678745,4.257254,-1.892939,6.627939,-24.560815,-91.786681,-118.59699,26.825915,22.678745,4.257254,-1.892939,6.627939,-3.513811,-34.751838,-84.454854,15.171533
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,120,11:21,3,35.29631,13.782699,4.943769,5.050718,-24.560815,-91.786681,-118.59699,26.825915,35.29631,13.782699,4.943769,5.050718,-3.513811,-23.191808,-39.943356,7.251126
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,120,11:21,4,35.29631,16.834595,13.801356,4.559927,-24.560815,-91.786681,-118.59699,26.825915,35.29631,16.834595,13.801356,4.559927,-3.513811,-21.130162,-33.918914,7.000942
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,120,11:21,5,35.29631,21.829551,17.159173,3.641433,-24.560815,-91.786681,-118.59699,26.825915,35.29631,21.829551,17.159173,3.641433,-2.962379,-15.971299,-33.918914,7.411965
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,120,11:21,6,35.29631,24.136225,20.806548,2.814097,-24.560815,-91.786681,-118.59699,26.825915,35.29631,24.136225,20.806548,2.814097,0.5239,-12.091895,-23.183235,6.178953
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,120,11:21,7,35.29631,26.770526,23.478365,3.281224,-24.560815,-91.786681,-118.59699,26.825915,35.29631,26.770526,23.478365,3.281224,0.5239,-11.869577,-23.183235,6.137362
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,120,11:21,8,37.966783,29.246685,25.667419,2.989461,-24.560815,-91.786681,-118.59699,26.825915,37.966783,29.246685,25.667419,2.989461,0.5239,-10.220686,-23.075971,6.145808
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,120,11:21,9,37.966783,30.524655,27.432826,2.645383,-24.560815,-91.786681,-118.59699,26.825915,37.966783,30.524655,27.432826,2.645383,0.5239,-9.941716,-23.075971,5.781878
1 2 3 4 5 6 7 8,0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125,120,11:21,10,37.966783,31.058381,28.284228,2.394075,-24.560815,-91.786681,-118.59699,26.825915,37.966783,31.058381,28.284228,2.394075,0.5239,-9.429313,-23.075971,5.389471
